"Colony","Lat","Lon","Pop","Group","Taxon"
"Colata",40.8754,9.6825,"Sardinia","Central-West","PUFYEL"
"La Mola",39.874,4.306,"Minorca","WesternMost","PUFYEL"
"Majjistral",35.93624,14.3411,"Malta","Central-East","PUFYEL"
"Rdum",35.9921,14.3723,"Malta","Central-East","PUFYEL"
"Gyaros",37.61284,24.6629,"Greece","EasternMost","PUFYEL"
"Zaklopatica",42.7735,16.8706,"Croatia","Central-East","PUFYEL"
"Veli Maslovnjak",42.77897,16.829126,"Croatia","Central-East","PUFYEL"
"Kappari",37.2702,26.73568,"Greece","EasternMost","PUFYEL"
"Porquerolles",42.97886,5.7543,"France","Central-West","PUFYEL"
"Port-Cros",43.0065,6.37732,"France","Central-West","PUFYEL"
"Sa Conillera",38.986387,1.1938793,"Ibiza","WesternMost","PUFMAU"
"Sa Cella",39.6,2.35,"Mallorca","WesternMost","PUFMAU"
